template_name,template,targets,template_category,target_category,experiment,comment
should_assume,"Given {premise} Should we assume that ""{hypothesis}"" is true?",negative;unclear;positive,instructive,reversed,sec5,
is_it_true,"{premise} Based on the previous passage, is it true that ""{hypothesis}""?",true;unclear;false,instructive,yes-no-like,sec5,
is_it_true,"{premise} Based on the previous passage, is it true that ""{hypothesis}""?",positive;unclear;negative,instructive,yes-no-like,sec5,
is_it_true,"{premise} Based on the previous passage, is it true that ""{hypothesis}""?",right;unclear;wrong,instructive,yes-no-like,sec5,
is_it_true,"{premise} Based on the previous passage, is it true that ""{hypothesis}""?",she;they;he,instructive,arbitrary,sec5,
is_it_true,"{premise} Based on the previous passage, is it true that ""{hypothesis}""?",cake;equality;piano,instructive,arbitrary,sec5,
is_it_true,"{premise} Based on the previous passage, is it true that ""{hypothesis}""?",circle;triangle;square,instructive,arbitrary,sec5,
is_it_true,"{premise} Based on the previous passage, is it true that ""{hypothesis}""?",no;unclear;yes,instructive,reversed,sec5,
is_it_true,"{premise} Based on the previous passage, is it true that ""{hypothesis}""?",false;unclear;true,instructive,reversed,sec5,
is_it_true,"{premise} Based on the previous passage, is it true that ""{hypothesis}""?",negative;unclear;positive,instructive,reversed,sec5,
guaranteed_true,"Given {premise} Is it guaranteed true that ""{hypothesis}""?",true;unclear;false,instructive,yes-no-like,sec5,
guaranteed_true,"Given {premise} Is it guaranteed true that ""{hypothesis}""?",positive;unclear;negative,instructive,yes-no-like,sec5,
guaranteed_true,"Given {premise} Is it guaranteed true that ""{hypothesis}""?",right;unclear;wrong,instructive,yes-no-like,sec5,
guaranteed_true,"Given {premise} Is it guaranteed true that ""{hypothesis}""?",she;they;he,instructive,arbitrary,sec5,
guaranteed_true,"Given {premise} Is it guaranteed true that ""{hypothesis}""?",cake;equality;piano,instructive,arbitrary,sec5,
guaranteed_true,"Given {premise} Is it guaranteed true that ""{hypothesis}""?",circle;triangle;square,instructive,arbitrary,sec5,
guaranteed_true,"Given {premise} Is it guaranteed true that ""{hypothesis}""?",no;unclear;yes,instructive,reversed,sec5,
guaranteed_true,"Given {premise} Is it guaranteed true that ""{hypothesis}""?",false;unclear;true,instructive,reversed,sec5,
guaranteed_true,"Given {premise} Is it guaranteed true that ""{hypothesis}""?",negative;unclear;positive,instructive,reversed,sec5,
can_we_infer,"Suppose {premise} Can we infer that ""{hypothesis}""?",true;unclear;false,instructive,yes-no-like,sec5,
can_we_infer,"Suppose {premise} Can we infer that ""{hypothesis}""?",positive;unclear;negative,instructive,yes-no-like,sec5,
can_we_infer,"Suppose {premise} Can we infer that ""{hypothesis}""?",right;unclear;wrong,instructive,yes-no-like,sec5,
can_we_infer,"Suppose {premise} Can we infer that ""{hypothesis}""?",she;they;he,instructive,arbitrary,sec5,
can_we_infer,"Suppose {premise} Can we infer that ""{hypothesis}""?",cake;equality;piano,instructive,arbitrary,sec5,
can_we_infer,"Suppose {premise} Can we infer that ""{hypothesis}""?",circle;triangle;square,instructive,arbitrary,sec5,
can_we_infer,"Suppose {premise} Can we infer that ""{hypothesis}""?",no;unclear;yes,instructive,reversed,sec5,
can_we_infer,"Suppose {premise} Can we infer that ""{hypothesis}""?",false;unclear;true,instructive,reversed,sec5,
can_we_infer,"Suppose {premise} Can we infer that ""{hypothesis}""?",negative;unclear;positive,instructive,reversed,sec5,
does_it_follow,"Given that {premise} Does it follow that ""{hypothesis}""?",true;unclear;false,instructive,yes-no-like,sec5,
does_it_follow,"Given that {premise} Does it follow that ""{hypothesis}""?",positive;unclear;negative,instructive,yes-no-like,sec5,
does_it_follow,"Given that {premise} Does it follow that ""{hypothesis}""?",right;unclear;wrong,instructive,yes-no-like,sec5,
does_it_follow,"Given that {premise} Does it follow that ""{hypothesis}""?",she;they;he,instructive,arbitrary,sec5,
does_it_follow,"Given that {premise} Does it follow that ""{hypothesis}""?",cake;equality;piano,instructive,arbitrary,sec5,
does_it_follow,"Given that {premise} Does it follow that ""{hypothesis}""?",circle;triangle;square,instructive,arbitrary,sec5,
does_it_follow,"Given that {premise} Does it follow that ""{hypothesis}""?",no;unclear;yes,instructive,reversed,sec5,
does_it_follow,"Given that {premise} Does it follow that ""{hypothesis}""?",false;unclear;true,instructive,reversed,sec5,
does_it_follow,"Given that {premise} Does it follow that ""{hypothesis}""?",negative;unclear;positive,instructive,reversed,sec5,
does_this_imply,"{premise} Question: Does this imply that ""{hypothesis}""?",true;unclear;false,instructive,yes-no-like,sec5,
does_this_imply,"{premise} Question: Does this imply that ""{hypothesis}""?",positive;unclear;negative,instructive,yes-no-like,sec5,
does_this_imply,"{premise} Question: Does this imply that ""{hypothesis}""?",right;unclear;wrong,instructive,yes-no-like,sec5,
does_this_imply,"{premise} Question: Does this imply that ""{hypothesis}""?",she;they;he,instructive,arbitrary,sec5,
does_this_imply,"{premise} Question: Does this imply that ""{hypothesis}""?",cake;equality;piano,instructive,arbitrary,sec5,
does_this_imply,"{premise} Question: Does this imply that ""{hypothesis}""?",circle;triangle;square,instructive,arbitrary,sec5,
does_this_imply,"{premise} Question: Does this imply that ""{hypothesis}""?",no;unclear;yes,instructive,reversed,sec5,
does_this_imply,"{premise} Question: Does this imply that ""{hypothesis}""?",false;unclear;true,instructive,reversed,sec5,
does_this_imply,"{premise} Question: Does this imply that ""{hypothesis}""?",negative;unclear;positive,instructive,reversed,sec5,
modal_be_true,"Given that {premise} Therefore, it must be true that ""{hypothesis}""?",true;unclear;false,instructive,yes-no-like,sec5,
modal_be_true,"Given that {premise} Therefore, it must be true that ""{hypothesis}""?",positive;unclear;negative,instructive,yes-no-like,sec5,
modal_be_true,"Given that {premise} Therefore, it must be true that ""{hypothesis}""?",right;unclear;wrong,instructive,yes-no-like,sec5,
modal_be_true,"Given that {premise} Therefore, it must be true that ""{hypothesis}""?",she;they;he,instructive,arbitrary,sec5,
modal_be_true,"Given that {premise} Therefore, it must be true that ""{hypothesis}""?",cake;equality;piano,instructive,arbitrary,sec5,
modal_be_true,"Given that {premise} Therefore, it must be true that ""{hypothesis}""?",circle;triangle;square,instructive,arbitrary,sec5,
modal_be_true,"Given that {premise} Therefore, it must be true that ""{hypothesis}""?",no;unclear;yes,instructive,reversed,sec5,
modal_be_true,"Given that {premise} Therefore, it must be true that ""{hypothesis}""?",false;unclear;true,instructive,reversed,sec5,
modal_be_true,"Given that {premise} Therefore, it must be true that ""{hypothesis}""?",negative;unclear;positive,instructive,reversed,sec5,
words_appear,{premise} Do most of the above words appear in the following passage? {hypothesis},true;unclear;false,misleading,yes-no-like,sec5,
words_appear,{premise} Do most of the above words appear in the following passage? {hypothesis},positive;unclear;negative,misleading,yes-no-like,sec5,
words_appear,{premise} Do most of the above words appear in the following passage? {hypothesis},right;unclear;wrong,misleading,yes-no-like,sec5,
words_appear,{premise} Do most of the above words appear in the following passage? {hypothesis},she;they;he,misleading,arbitrary,sec5,
words_appear,{premise} Do most of the above words appear in the following passage? {hypothesis},cake;equality;piano,misleading,arbitrary,sec5,
words_appear,{premise} Do most of the above words appear in the following passage? {hypothesis},circle;triangle;square,misleading,arbitrary,sec5,
words_appear,{premise} Do most of the above words appear in the following passage? {hypothesis},no;unclear;yes,misleading,reversed,sec5,
words_appear,{premise} Do most of the above words appear in the following passage? {hypothesis},false;unclear;true,misleading,reversed,sec5,
words_appear,{premise} Do most of the above words appear in the following passage? {hypothesis},negative;unclear;positive,misleading,reversed,sec5,
similar_words,"{premise} Are there lots of similar words in ""{hypothesis}""?",true;unclear;false,misleading,yes-no-like,sec5,
similar_words,"{premise} Are there lots of similar words in ""{hypothesis}""?",positive;unclear;negative,misleading,yes-no-like,sec5,
similar_words,"{premise} Are there lots of similar words in ""{hypothesis}""?",right;unclear;wrong,misleading,yes-no-like,sec5,
similar_words,"{premise} Are there lots of similar words in ""{hypothesis}""?",she;they;he,misleading,arbitrary,sec5,
similar_words,"{premise} Are there lots of similar words in ""{hypothesis}""?",cake;equality;piano,misleading,arbitrary,sec5,
similar_words,"{premise} Are there lots of similar words in ""{hypothesis}""?",circle;triangle;square,misleading,arbitrary,sec5,
similar_words,"{premise} Are there lots of similar words in ""{hypothesis}""?",no;unclear;yes,misleading,reversed,sec5,
similar_words,"{premise} Are there lots of similar words in ""{hypothesis}""?",false;unclear;true,misleading,reversed,sec5,
similar_words,"{premise} Are there lots of similar words in ""{hypothesis}""?",negative;unclear;positive,misleading,reversed,sec5,
same_meaning,"{premise} Does that have the same meaning as ""{hypothesis}""?",true;unclear;false,misleading,yes-no-like,sec5,
same_meaning,"{premise} Does that have the same meaning as ""{hypothesis}""?",positive;unclear;negative,misleading,yes-no-like,sec5,
same_meaning,"{premise} Does that have the same meaning as ""{hypothesis}""?",right;unclear;wrong,misleading,yes-no-like,sec5,
same_meaning,"{premise} Does that have the same meaning as ""{hypothesis}""?",she;they;he,misleading,arbitrary,sec5,
same_meaning,"{premise} Does that have the same meaning as ""{hypothesis}""?",cake;equality;piano,misleading,arbitrary,sec5,
same_meaning,"{premise} Does that have the same meaning as ""{hypothesis}""?",circle;triangle;square,misleading,arbitrary,sec5,
same_meaning,"{premise} Does that have the same meaning as ""{hypothesis}""?",no;unclear;yes,misleading,reversed,sec5,
same_meaning,"{premise} Does that have the same meaning as ""{hypothesis}""?",false;unclear;true,misleading,reversed,sec5,
same_meaning,"{premise} Does that have the same meaning as ""{hypothesis}""?",negative;unclear;positive,misleading,reversed,sec5,
paraphrase,"{premise} Can that be paraphrased as: ""{hypothesis}""?",true;unclear;false,misleading,yes-no-like,sec5,
paraphrase,"{premise} Can that be paraphrased as: ""{hypothesis}""?",positive;unclear;negative,misleading,yes-no-like,sec5,
paraphrase,"{premise} Can that be paraphrased as: ""{hypothesis}""?",right;unclear;wrong,misleading,yes-no-like,sec5,
paraphrase,"{premise} Can that be paraphrased as: ""{hypothesis}""?",she;they;he,misleading,arbitrary,sec5,
paraphrase,"{premise} Can that be paraphrased as: ""{hypothesis}""?",cake;equality;piano,misleading,arbitrary,sec5,
paraphrase,"{premise} Can that be paraphrased as: ""{hypothesis}""?",circle;triangle;square,misleading,arbitrary,sec5,
paraphrase,"{premise} Can that be paraphrased as: ""{hypothesis}""?",no;unclear;yes,misleading,reversed,sec5,
paraphrase,"{premise} Can that be paraphrased as: ""{hypothesis}""?",false;unclear;true,misleading,reversed,sec5,
paraphrase,"{premise} Can that be paraphrased as: ""{hypothesis}""?",negative;unclear;positive,misleading,reversed,sec5,
summarize,"{premise} Can that be summarized as ""{hypothesis}""?",true;unclear;false,misleading,yes-no-like,sec5,
summarize,"{premise} Can that be summarized as ""{hypothesis}""?",positive;unclear;negative,misleading,yes-no-like,sec5,
summarize,"{premise} Can that be summarized as ""{hypothesis}""?",right;unclear;wrong,misleading,yes-no-like,sec5,
summarize,"{premise} Can that be summarized as ""{hypothesis}""?",she;they;he,misleading,arbitrary,sec5,
summarize,"{premise} Can that be summarized as ""{hypothesis}""?",cake;equality;piano,misleading,arbitrary,sec5,
summarize,"{premise} Can that be summarized as ""{hypothesis}""?",circle;triangle;square,misleading,arbitrary,sec5,
summarize,"{premise} Can that be summarized as ""{hypothesis}""?",no;unclear;yes,misleading,reversed,sec5,
summarize,"{premise} Can that be summarized as ""{hypothesis}""?",false;unclear;true,misleading,reversed,sec5,
summarize,"{premise} Can that be summarized as ""{hypothesis}""?",negative;unclear;positive,misleading,reversed,sec5,
start_with_the,"{premise} Does the paragraph start with ""the""? {hypothesis}",true;unclear;false,misleading_far,yes-no-like,sec5,
start_with_the,"{premise} Does the paragraph start with ""the""? {hypothesis}",positive;unclear;negative,misleading_far,yes-no-like,sec5,
start_with_the,"{premise} Does the paragraph start with ""the""? {hypothesis}",right;unclear;wrong,misleading_far,yes-no-like,sec5,
start_with_the,"{premise} Does the paragraph start with ""the""? {hypothesis}",she;they;he,misleading_far,arbitrary,sec5,
start_with_the,"{premise} Does the paragraph start with ""the""? {hypothesis}",cake;equality;piano,misleading_far,arbitrary,sec5,
start_with_the,"{premise} Does the paragraph start with ""the""? {hypothesis}",circle;triangle;square,misleading_far,arbitrary,sec5,
start_with_the,"{premise} Does the paragraph start with ""the""? {hypothesis}",no;unclear;yes,misleading_far,reversed,sec5,
start_with_the,"{premise} Does the paragraph start with ""the""? {hypothesis}",false;unclear;true,misleading_far,reversed,sec5,
start_with_the,"{premise} Does the paragraph start with ""the""? {hypothesis}",negative;unclear;positive,misleading_far,reversed,sec5,
grammatical,{premise} Is this grammatically correct? {hypothesis},true;unclear;false,misleading_far,yes-no-like,sec5,
grammatical,{premise} Is this grammatically correct? {hypothesis},positive;unclear;negative,misleading_far,yes-no-like,sec5,
grammatical,{premise} Is this grammatically correct? {hypothesis},right;unclear;wrong,misleading_far,yes-no-like,sec5,
grammatical,{premise} Is this grammatically correct? {hypothesis},she;they;he,misleading_far,arbitrary,sec5,
grammatical,{premise} Is this grammatically correct? {hypothesis},cake;equality;piano,misleading_far,arbitrary,sec5,
grammatical,{premise} Is this grammatically correct? {hypothesis},circle;triangle;square,misleading_far,arbitrary,sec5,
grammatical,{premise} Is this grammatically correct? {hypothesis},no;unclear;yes,misleading_far,reversed,sec5,
grammatical,{premise} Is this grammatically correct? {hypothesis},false;unclear;true,misleading_far,reversed,sec5,
grammatical,{premise} Is this grammatically correct? {hypothesis},negative;unclear;positive,misleading_far,reversed,sec5,
sentiment,{premise} Is the sentiment positive? {hypothesis},true;unclear;false,misleading_far,yes-no-like,sec5,
sentiment,{premise} Is the sentiment positive? {hypothesis},positive;unclear;negative,misleading_far,yes-no-like,sec5,
sentiment,{premise} Is the sentiment positive? {hypothesis},right;unclear;wrong,misleading_far,yes-no-like,sec5,
sentiment,{premise} Is the sentiment positive? {hypothesis},she;they;he,misleading_far,arbitrary,sec5,
sentiment,{premise} Is the sentiment positive? {hypothesis},cake;equality;piano,misleading_far,arbitrary,sec5,
sentiment,{premise} Is the sentiment positive? {hypothesis},circle;triangle;square,misleading_far,arbitrary,sec5,
sentiment,{premise} Is the sentiment positive? {hypothesis},no;unclear;yes,misleading_far,reversed,sec5,
sentiment,{premise} Is the sentiment positive? {hypothesis},false;unclear;true,misleading_far,reversed,sec5,
sentiment,{premise} Is the sentiment positive? {hypothesis},negative;unclear;positive,misleading_far,reversed,sec5,
sportsball,{premise} Is this a sports news? {hypothesis},true;unclear;false,misleading_far,yes-no-like,sec5,
sportsball,{premise} Is this a sports news? {hypothesis},positive;unclear;negative,misleading_far,yes-no-like,sec5,
sportsball,{premise} Is this a sports news? {hypothesis},right;unclear;wrong,misleading_far,yes-no-like,sec5,
sportsball,{premise} Is this a sports news? {hypothesis},she;they;he,misleading_far,arbitrary,sec5,
sportsball,{premise} Is this a sports news? {hypothesis},cake;equality;piano,misleading_far,arbitrary,sec5,
sportsball,{premise} Is this a sports news? {hypothesis},circle;triangle;square,misleading_far,arbitrary,sec5,
sportsball,{premise} Is this a sports news? {hypothesis},no;unclear;yes,misleading_far,reversed,sec5,
sportsball,{premise} Is this a sports news? {hypothesis},false;unclear;true,misleading_far,reversed,sec5,
sportsball,{premise} Is this a sports news? {hypothesis},negative;unclear;positive,misleading_far,reversed,sec5,
french,{premise} Is this French? {hypothesis},true;unclear;false,misleading_far,yes-no-like,sec5,
french,{premise} Is this French? {hypothesis},positive;unclear;negative,misleading_far,yes-no-like,sec5,
french,{premise} Is this French? {hypothesis},right;unclear;wrong,misleading_far,yes-no-like,sec5,
french,{premise} Is this French? {hypothesis},she;they;he,misleading_far,arbitrary,sec5,
french,{premise} Is this French? {hypothesis},cake;equality;piano,misleading_far,arbitrary,sec5,
french,{premise} Is this French? {hypothesis},circle;triangle;square,misleading_far,arbitrary,sec5,
french,{premise} Is this French? {hypothesis},no;unclear;yes,misleading_far,reversed,sec5,
french,{premise} Is this French? {hypothesis},false;unclear;true,misleading_far,reversed,sec5,
french,{premise} Is this French? {hypothesis},negative;unclear;positive,misleading_far,reversed,sec5,
zoning,"{premise} Single-family zoning is bad for American cities. ""{hypothesis}""?",true;unclear;false,irrelevant_eta,yes-no-like,sec5,
zoning,"{premise} Single-family zoning is bad for American cities. ""{hypothesis}""?",positive;unclear;negative,irrelevant_eta,yes-no-like,sec5,
zoning,"{premise} Single-family zoning is bad for American cities. ""{hypothesis}""?",right;unclear;wrong,irrelevant_eta,yes-no-like,sec5,
zoning,"{premise} Single-family zoning is bad for American cities. ""{hypothesis}""?",she;they;he,irrelevant_eta,arbitrary,sec5,
zoning,"{premise} Single-family zoning is bad for American cities. ""{hypothesis}""?",cake;equality;piano,irrelevant_eta,arbitrary,sec5,
zoning,"{premise} Single-family zoning is bad for American cities. ""{hypothesis}""?",circle;triangle;square,irrelevant_eta,arbitrary,sec5,
zoning,"{premise} Single-family zoning is bad for American cities. ""{hypothesis}""?",no;unclear;yes,irrelevant_eta,reversed,sec5,
zoning,"{premise} Single-family zoning is bad for American cities. ""{hypothesis}""?",false;unclear;true,irrelevant_eta,reversed,sec5,
zoning,"{premise} Single-family zoning is bad for American cities. ""{hypothesis}""?",negative;unclear;positive,irrelevant_eta,reversed,sec5,
gauss,"{premise} When Bolyai sent Gauss his discovery of non-Euclidean geometry, Gauss replied that he arrived at the same results 30 years ago. ""{hypothesis}""?",true;unclear;false,irrelevant_eta,yes-no-like,sec5,
gauss,"{premise} When Bolyai sent Gauss his discovery of non-Euclidean geometry, Gauss replied that he arrived at the same results 30 years ago. ""{hypothesis}""?",positive;unclear;negative,irrelevant_eta,yes-no-like,sec5,
gauss,"{premise} When Bolyai sent Gauss his discovery of non-Euclidean geometry, Gauss replied that he arrived at the same results 30 years ago. ""{hypothesis}""?",right;unclear;wrong,irrelevant_eta,yes-no-like,sec5,
gauss,"{premise} When Bolyai sent Gauss his discovery of non-Euclidean geometry, Gauss replied that he arrived at the same results 30 years ago. ""{hypothesis}""?",she;they;he,irrelevant_eta,arbitrary,sec5,
gauss,"{premise} When Bolyai sent Gauss his discovery of non-Euclidean geometry, Gauss replied that he arrived at the same results 30 years ago. ""{hypothesis}""?",cake;equality;piano,irrelevant_eta,arbitrary,sec5,
gauss,"{premise} When Bolyai sent Gauss his discovery of non-Euclidean geometry, Gauss replied that he arrived at the same results 30 years ago. ""{hypothesis}""?",circle;triangle;square,irrelevant_eta,arbitrary,sec5,
gauss,"{premise} When Bolyai sent Gauss his discovery of non-Euclidean geometry, Gauss replied that he arrived at the same results 30 years ago. ""{hypothesis}""?",no;unclear;yes,irrelevant_eta,reversed,sec5,
gauss,"{premise} When Bolyai sent Gauss his discovery of non-Euclidean geometry, Gauss replied that he arrived at the same results 30 years ago. ""{hypothesis}""?",false;unclear;true,irrelevant_eta,reversed,sec5,
gauss,"{premise} When Bolyai sent Gauss his discovery of non-Euclidean geometry, Gauss replied that he arrived at the same results 30 years ago. ""{hypothesis}""?",negative;unclear;positive,irrelevant_eta,reversed,sec5,
katsuobushi,"{premise} If bonito flakes boil more than a few seconds, the stock becomes too strong? ""{hypothesis}""?",true;unclear;false,irrelevant_eta,yes-no-like,sec5,
katsuobushi,"{premise} If bonito flakes boil more than a few seconds, the stock becomes too strong? ""{hypothesis}""?",positive;unclear;negative,irrelevant_eta,yes-no-like,sec5,
katsuobushi,"{premise} If bonito flakes boil more than a few seconds, the stock becomes too strong? ""{hypothesis}""?",right;unclear;wrong,irrelevant_eta,yes-no-like,sec5,
katsuobushi,"{premise} If bonito flakes boil more than a few seconds, the stock becomes too strong? ""{hypothesis}""?",she;they;he,irrelevant_eta,arbitrary,sec5,
katsuobushi,"{premise} If bonito flakes boil more than a few seconds, the stock becomes too strong? ""{hypothesis}""?",cake;equality;piano,irrelevant_eta,arbitrary,sec5,
katsuobushi,"{premise} If bonito flakes boil more than a few seconds, the stock becomes too strong? ""{hypothesis}""?",circle;triangle;square,irrelevant_eta,arbitrary,sec5,
katsuobushi,"{premise} If bonito flakes boil more than a few seconds, the stock becomes too strong? ""{hypothesis}""?",no;unclear;yes,irrelevant_eta,reversed,sec5,
katsuobushi,"{premise} If bonito flakes boil more than a few seconds, the stock becomes too strong? ""{hypothesis}""?",false;unclear;true,irrelevant_eta,reversed,sec5,
katsuobushi,"{premise} If bonito flakes boil more than a few seconds, the stock becomes too strong? ""{hypothesis}""?",negative;unclear;positive,irrelevant_eta,reversed,sec5,
inflection,"{premise} Inflections are annoying and thank god that Middle English got rid of most of them. ""{hypothesis}""?",true;unclear;false,irrelevant_eta,yes-no-like,sec5,
inflection,"{premise} Inflections are annoying and thank god that Middle English got rid of most of them. ""{hypothesis}""?",positive;unclear;negative,irrelevant_eta,yes-no-like,sec5,
inflection,"{premise} Inflections are annoying and thank god that Middle English got rid of most of them. ""{hypothesis}""?",right;unclear;wrong,irrelevant_eta,yes-no-like,sec5,
inflection,"{premise} Inflections are annoying and thank god that Middle English got rid of most of them. ""{hypothesis}""?",she;they;he,irrelevant_eta,arbitrary,sec5,
inflection,"{premise} Inflections are annoying and thank god that Middle English got rid of most of them. ""{hypothesis}""?",cake;equality;piano,irrelevant_eta,arbitrary,sec5,
inflection,"{premise} Inflections are annoying and thank god that Middle English got rid of most of them. ""{hypothesis}""?",circle;triangle;square,irrelevant_eta,arbitrary,sec5,
inflection,"{premise} Inflections are annoying and thank god that Middle English got rid of most of them. ""{hypothesis}""?",no;unclear;yes,irrelevant_eta,reversed,sec5,
inflection,"{premise} Inflections are annoying and thank god that Middle English got rid of most of them. ""{hypothesis}""?",false;unclear;true,irrelevant_eta,reversed,sec5,
inflection,"{premise} Inflections are annoying and thank god that Middle English got rid of most of them. ""{hypothesis}""?",negative;unclear;positive,irrelevant_eta,reversed,sec5,
euthyphro,"{premise} Is the pious loved by the gods because it is pious? Or is it pious because it is loved by the gods? ""{hypothesis}""?",true;unclear;false,irrelevant_eta,yes-no-like,sec5,
euthyphro,"{premise} Is the pious loved by the gods because it is pious? Or is it pious because it is loved by the gods? ""{hypothesis}""?",positive;unclear;negative,irrelevant_eta,yes-no-like,sec5,
euthyphro,"{premise} Is the pious loved by the gods because it is pious? Or is it pious because it is loved by the gods? ""{hypothesis}""?",right;unclear;wrong,irrelevant_eta,yes-no-like,sec5,
euthyphro,"{premise} Is the pious loved by the gods because it is pious? Or is it pious because it is loved by the gods? ""{hypothesis}""?",she;they;he,irrelevant_eta,arbitrary,sec5,
euthyphro,"{premise} Is the pious loved by the gods because it is pious? Or is it pious because it is loved by the gods? ""{hypothesis}""?",cake;equality;piano,irrelevant_eta,arbitrary,sec5,
euthyphro,"{premise} Is the pious loved by the gods because it is pious? Or is it pious because it is loved by the gods? ""{hypothesis}""?",circle;triangle;square,irrelevant_eta,arbitrary,sec5,
euthyphro,"{premise} Is the pious loved by the gods because it is pious? Or is it pious because it is loved by the gods? ""{hypothesis}""?",no;unclear;yes,irrelevant_eta,reversed,sec5,
euthyphro,"{premise} Is the pious loved by the gods because it is pious? Or is it pious because it is loved by the gods? ""{hypothesis}""?",false;unclear;true,irrelevant_eta,reversed,sec5,
euthyphro,"{premise} Is the pious loved by the gods because it is pious? Or is it pious because it is loved by the gods? ""{hypothesis}""?",negative;unclear;positive,irrelevant_eta,reversed,sec5,
zoning,"{premise} Single-family zoning is bad for American cities. ""{hypothesis}""?",true;unclear;false,irrelevant_gamma,yes-no-like,sec5,
zoning,"{premise} Single-family zoning is bad for American cities. ""{hypothesis}""?",positive;unclear;negative,irrelevant_gamma,yes-no-like,sec5,
zoning,"{premise} Single-family zoning is bad for American cities. ""{hypothesis}""?",right;unclear;wrong,irrelevant_gamma,yes-no-like,sec5,
zoning,"{premise} Single-family zoning is bad for American cities. ""{hypothesis}""?",she;they;he,irrelevant_gamma,arbitrary,sec5,
zoning,"{premise} Single-family zoning is bad for American cities. ""{hypothesis}""?",cake;equality;piano,irrelevant_gamma,arbitrary,sec5,
zoning,"{premise} Single-family zoning is bad for American cities. ""{hypothesis}""?",circle;triangle;square,irrelevant_gamma,arbitrary,sec5,
zoning,"{premise} Single-family zoning is bad for American cities. ""{hypothesis}""?",no;unclear;yes,irrelevant_gamma,reversed,sec5,
zoning,"{premise} Single-family zoning is bad for American cities. ""{hypothesis}""?",false;unclear;true,irrelevant_gamma,reversed,sec5,
zoning,"{premise} Single-family zoning is bad for American cities. ""{hypothesis}""?",negative;unclear;positive,irrelevant_gamma,reversed,sec5,
gauss,"{premise} When Bolyai sent Gauss his discovery of non-Euclidean geometry, Gauss replied that he arrived at the same results 30 years ago. {hypothesis}?",true;unclear;false,irrelevant_gamma,yes-no-like,sec5,
gauss,"{premise} When Bolyai sent Gauss his discovery of non-Euclidean geometry, Gauss replied that he arrived at the same results 30 years ago. {hypothesis}?",positive;unclear;negative,irrelevant_gamma,yes-no-like,sec5,
gauss,"{premise} When Bolyai sent Gauss his discovery of non-Euclidean geometry, Gauss replied that he arrived at the same results 30 years ago. {hypothesis}?",right;unclear;wrong,irrelevant_gamma,yes-no-like,sec5,
gauss,"{premise} When Bolyai sent Gauss his discovery of non-Euclidean geometry, Gauss replied that he arrived at the same results 30 years ago. {hypothesis}?",she;they;he,irrelevant_gamma,arbitrary,sec5,
gauss,"{premise} When Bolyai sent Gauss his discovery of non-Euclidean geometry, Gauss replied that he arrived at the same results 30 years ago. {hypothesis}?",cake;equality;piano,irrelevant_gamma,arbitrary,sec5,
gauss,"{premise} When Bolyai sent Gauss his discovery of non-Euclidean geometry, Gauss replied that he arrived at the same results 30 years ago. {hypothesis}?",circle;triangle;square,irrelevant_gamma,arbitrary,sec5,
gauss,"{premise} When Bolyai sent Gauss his discovery of non-Euclidean geometry, Gauss replied that he arrived at the same results 30 years ago. {hypothesis}?",no;unclear;yes,irrelevant_gamma,reversed,sec5,
gauss,"{premise} When Bolyai sent Gauss his discovery of non-Euclidean geometry, Gauss replied that he arrived at the same results 30 years ago. {hypothesis}?",false;unclear;true,irrelevant_gamma,reversed,sec5,
